State,Date,Time,Cumulative case count,Cumulative deaths,,,,,,,,,,,,
TAS,07/04/2020,,98,3,,,,,,,,,,,,
WA,07/04/2020,14:00,470,6,,,,,,,,,,,,
QLD,07/04/2020,16:27,934,,,,,,,,,,,,,
VIC,07/04/2020,08:40,1191,11,,,,,,,,,,,,
NSW,07/04/2020,20:00,2734,,,,,,,,,,,,,
NT,08/04/2020,16:00,28,,,,,,,,,,,,,
ACT,08/04/2020,13:30,99,,,,,,,,,,,,,
TAS,08/04/2020,,107,,,,,,,,,,,,,
SA,08/04/2020,06:00,415,2,,,,,,,,,,,,
WA,08/04/2020,17:00,481,,,,,,,,,,,,,
QLD,08/04/2020,14:17,943,,,,,,,,,,,,,
VIC,08/04/2020,09:00,1212,12,,,,,,,,,,,,
NSW,08/04/2020,20:00,2773,,,,,,,,,,,,,
ACT,09/04/2020,13:45,100,,,,,,,,,,,,,
TAS,09/04/2020,08:45,107,,,,,,,,,,,,,
SA,09/04/2020,08:00,420,3,,,,,,,,,,,,
SA,09/04/2020,17:15,421,,,,,,,,,,,,,
WA,09/04/2020,17:15,495,,,,,,,,,,,,,
QLD,09/04/2020,13:30,953,,,,,,,,,,,,,
VIC,09/04/2020,11:10,1228,,,,,,,,,,,,,
NSW,09/04/2020,14:24,2822,22,,,,,,,,,,,,
ACT,10/04/2020,12:20,102,,,,,,,,,,,,,
TAS,10/04/2020,,111,4,,,,,,,,,,,,
SA,10/04/2020,16:35,427,,,,,,,,,,,,,
WA,10/04/2020,17:35,506,,,,,,,,,,,,,
QLD,10/04/2020,15:35,965,,,,,,,,,,,,,
VIC,10/04/2020,12:20,1241,13,,,,,,,,,,,,
NSW,10/04/2020,20:00,2847,23,,,,,,,,,,,,
TAS,11/04/2020,10:00,122,4,,,,,,,,,,,,
SA,11/04/2020,10:00,428,,,,,,,,,,,,,
SA,11/04/2020,17:50,429,3,,,,,,,,,,,,
WA,11/04/2020,17:50,514,6,,,,,,,,,,,,
QLD,11/04/2020,10:00,972,4,,,,,,,,,,,,
QLD,11/04/2020,15:30,974,4,,,,,,,,,,,,
VIC,11/04/2020,10:00,1265,14,,,,,,,,,,,,
NSW,11/04/2020,10:00,2857,24,,,,,,,,,,,,
ACT,11/04/2020,16:00,,,,,,,,,,,,,,
NT,11/04/2020,17:00,28,,,,,,,,,,,,,
ACT,12/04/2020,12:35,102,2,,,,,,,,,,,,
SA,12/04/2020,06:00,429,4,,,,,,,,,,,,
WA,12/04/2020,16:58,517,,,,,,,,,,,,,
QLD,12/04/2020,11:42,983,4,,,,,,,,,,,,
VIC,12/04/2020,11:41,1268,14,,,,,,,,,,,,
TAS,12/04/2020,,144,5,,,,,,,,,,,,
NSW,12/04/2020,20:00,2863,26,,,,,,,,,,,,
VIC,13/04/2020,11:00,1281,,,,,,,,,,,,,
QLD,13/04/2020,,987,,,,,,,,,,,,,
